,month,default_value,user_id
0,2013-11-01,0,821302
1,2013-10-01,0,821302
2,2013-09-01,0,821302
3,2013-08-01,0,821302
4,2013-07-01,0,821302
5,2013-06-01,0,821302
6,2013-05-01,0,821302
7,2013-04-01,0,821302
8,2013-03-01,0,821302
9,2013-02-01,0,821302
10,2013-01-01,0,821302
11,2013-11-01,0,821429
12,2013-10-01,0,821429
13,2013-09-01,0,821429
14,2013-08-01,0,821429
15,2013-07-01,0,821429
16,2013-06-01,0,821429
17,2013-05-01,0,821429
18,2013-04-01,0,821429
19,2013-03-01,0,821429
20,2013-02-01,0,821429
21,2013-01-01,0,821429
22,2013-11-01,0,821637
23,2013-10-01,0,821637
24,2013-09-01,0,821637
25,2013-08-01,0,821637
26,2013-07-01,0,821637
27,2013-06-01,0,821637
28,2013-05-01,0,821637
29,2013-04-01,0,821637
30,2013-03-01,0,821637
31,2013-02-01,0,821637
32,2013-01-01,0,821637
33,2013-11-01,0,827397
34,2013-10-01,0,827397
35,2013-09-01,0,827397
36,2013-08-01,0,827397
37,2013-07-01,0,827397
38,2013-06-01,0,827397
39,2013-05-01,0,827397
40,2013-04-01,0,827397
41,2013-03-01,0,827397
42,2013-02-01,0,827397
43,2013-01-01,0,827397
44,2013-11-01,0,827555
45,2013-10-01,0,827555
46,2013-09-01,0,827555
47,2013-08-01,0,827555
48,2013-07-01,0,827555
49,2013-06-01,0,827555
50,2013-05-01,0,827555
51,2013-04-01,0,827555
52,2013-03-01,0,827555
53,2013-02-01,0,827555
54,2013-01-01,0,827555
55,2013-11-01,1,831741
56,2013-10-01,1,831741
57,2013-09-01,1,831741
58,2013-08-01,1,831741
59,2013-07-01,1,831741
60,2013-06-01,0,831741
61,2013-05-01,0,831741
62,2013-04-01,0,831741
63,2013-03-01,0,831741
64,2013-02-01,0,831741
65,2013-01-01,0,831741
66,2013-11-01,0,831839
67,2013-10-01,0,831839
68,2013-09-01,0,831839
69,2013-08-01,0,831839
70,2013-07-01,0,831839
71,2013-06-01,0,831839
72,2013-05-01,0,831839
73,2013-04-01,0,831839
74,2013-03-01,0,831839
75,2013-02-01,0,831839
76,2013-01-01,0,831839
77,2013-11-01,0,831848
78,2013-10-01,0,831848
79,2013-09-01,0,831848
80,2013-08-01,0,831848
81,2013-07-01,0,831848
82,2013-06-01,0,831848
83,2013-05-01,0,831848
84,2013-04-01,0,831848
85,2013-03-01,0,831848
86,2013-02-01,0,831848
87,2013-01-01,0,831848
88,2013-11-01,0,831861
89,2013-10-01,0,831861
90,2013-09-01,1,831861
91,2013-08-01,3,831861
92,2013-07-01,4,831861
93,2013-06-01,5,831861
94,2013-05-01,4,831861
95,2013-04-01,4,831861
96,2013-03-01,3,831861
97,2013-02-01,2,831861
98,2013-01-01,1,831861
99,2013-11-01,1,839006
100,2013-10-01,1,839006
101,2013-09-01,0,839006
102,2013-08-01,0,839006
103,2013-07-01,0,839006
104,2013-06-01,0,839006
105,2013-05-01,3,839006
106,2013-04-01,3,839006
107,2013-03-01,2,839006
108,2013-02-01,1,839006
109,2013-01-01,1,839006
110,2013-11-01,0,839037
111,2013-10-01,0,839037
112,2013-09-01,0,839037
113,2013-08-01,0,839037
114,2013-07-01,0,839037
115,2013-06-01,0,839037
116,2013-05-01,0,839037
117,2013-04-01,0,839037
118,2013-03-01,0,839037
119,2013-02-01,0,839037
120,2013-01-01,0,839037
121,2013-11-01,0,839538
122,2013-10-01,0,839538
123,2013-09-01,0,839538
124,2013-08-01,0,839538
125,2013-07-01,0,839538
126,2013-06-01,0,839538
127,2013-05-01,0,839538
128,2013-04-01,0,839538
129,2013-03-01,0,839538
130,2013-02-01,0,839538
131,2013-01-01,0,839538
132,2013-11-01,0,845870
133,2013-10-01,0,845870
134,2013-09-01,0,845870
135,2013-08-01,0,845870
136,2013-07-01,0,845870
137,2013-06-01,0,845870
138,2013-05-01,0,845870
139,2013-04-01,0,845870
140,2013-03-01,0,845870
141,2013-02-01,0,845870
142,2013-01-01,0,845870
143,2013-11-01,0,845873
144,2013-10-01,0,845873
145,2013-09-01,0,845873
146,2013-08-01,0,845873
147,2013-07-01,0,845873
148,2013-06-01,0,845873
149,2013-05-01,0,845873
150,2013-04-01,0,845873
151,2013-03-01,0,845873
152,2013-02-01,0,845873
153,2013-01-01,0,845873
154,2013-11-01,0,845879
155,2013-10-01,0,845879
156,2013-09-01,0,845879
157,2013-08-01,0,845879
158,2013-07-01,0,845879
159,2013-06-01,0,845879
160,2013-05-01,0,845879
161,2013-04-01,0,845879
162,2013-03-01,0,845879
163,2013-02-01,0,845879
164,2013-01-01,0,845879
165,2013-11-01,0,848956
166,2013-10-01,0,848956
167,2013-09-01,0,848956
